transaction_id,customer_id,store_id,transaction_date,transaction_time,payment_method,total_amount,discount_amount,tax_amount,net_amount
54,45,5,2023-10-07,16:12:07,Wallet,3787,0,681.66,4468.66
55,31,4,2023-11-27,17:09:23,Wallet,9836,1009.68,1588.74,10415.06
56,42,5,2024-01-01,09:51:16,Wallet,6894,522.97,1146.79,7517.82
57,43,5,2023-09-05,13:53:58,Cash,13094,1561.78,2075.8,13608.02
58,24,1,2024-02-02,11:29:37,Debit Card,4444,310.39,744.05,4877.66
59,21,2,2024-04-29,18:01:33,Wallet,797,0,143.46,940.46
60,,4,2024-04-15,17:18:15,Debit Card,10692,0,1924.56,12616.56
61,36,4,2024-11-30,16:41:47,Wallet,6395,0,1151.1,7546.1
62,,2,2023-02-27,09:09:33,Debit Card,2547,202.15,422.07,2766.92
63,40,3,2023-08-01,11:53:02,UPI,1138,0,204.84,1342.84
64,26,2,2024-03-22,13:35:40,UPI,11791,1197.14,1906.89,12500.75
65,16,2,2024-08-01,20:59:08,Cash,7695,0,1385.1,9080.1
66,,4,2023-02-04,17:53:26,Debit Card,7990,0,1438.2,9428.2
67,14,1,2024-06-20,17:39:54,Debit Card,5654,0,1017.72,6671.72
68,39,4,2024-09-29,11:06:50,Debit Card,3145,112.43,545.86,3578.43
69,48,3,2023-11-07,10:26:37,Credit Card,5495,0,989.1,6484.1
70,49,2,2023-12-18,12:22:59,Debit Card,7688,0,1383.84,9071.84
71,,4,2023-04-04,14:50:30,Credit Card,3097,0,557.46,3654.46
72,19,1,2024-11-06,15:49:48,UPI,8882,0,1598.76,10480.76
73,38,3,2023-05-04,13:27:52,UPI,997,48.23,170.78,1119.55
74,27,3,2023-07-19,14:09:07,Wallet,12142,0,2185.56,14327.56
75,7,5,2024-02-06,13:16:43,UPI,8293,0,1492.74,9785.74
76,38,2,2024-06-20,09:10:47,Wallet,10191,0,1834.38,12025.38
77,29,3,2024-09-14,16:49:14,Cash,2546,0,458.28,3004.28
78,,4,2024-05-20,14:30:53,Credit Card,16090,0,2896.2,18986.2
79,13,5,2023-05-11,21:26:05,Wallet,3976,335.78,655.24,4295.46
80,19,5,2024-09-25,16:33:31,Debit Card,5930,383.31,998.4,6545.09
81,42,4,2024-03-08,12:09:29,Debit Card,5206,0,937.08,6143.08
82,28,3,2024-12-29,10:41:02,Credit Card,799,0,143.82,942.82
83,36,4,2023-09-01,14:24:35,UPI,12439,0,2239.02,14678.02
84,19,1,2024-08-11,17:24:27,Wallet,2598,0,467.64,3065.64
85,39,3,2024-08-20,12:02:58,UPI,14495,2119.44,2227.6,14603.16
86,36,2,2023-01-01,09:43:50,Credit Card,1475,0,265.5,1740.5
87,,1,2024-05-06,12:31:04,Wallet,2696,0,485.28,3181.28
88,22,3,2024-12-31,10:07:54,Cash,899,110.23,141.98,930.75
89,24,3,2023-10-31,17:14:10,Cash,5447,0,980.46,6427.46
90,16,5,2023-12-05,11:59:52,Credit Card,3416,0,614.88,4030.88
91,49,4,2024-10-11,13:17:44,Cash,5935,6.93,1067.05,6995.12
92,,5,2023-11-15,21:54:14,Cash,199,19.51,32.31,211.8
93,22,2,2024-03-05,09:35:14,Wallet,6945,0,1250.1,8195.1
94,27,1,2023-02-06,13:48:56,Debit Card,5272,390.47,878.68,5760.21
95,39,3,2023-05-30,11:31:50,Wallet,3096,0,557.28,3653.28
96,1,2,2023-09-09,11:09:22,Debit Card,2297,317.05,356.39,2336.34
97,,5,2023-03-27,17:59:49,Wallet,10112,665.93,1700.29,11146.36
98,,4,2024-07-06,21:10:43,Debit Card,9343,447.81,1601.13,10496.32
99,50,4,2023-08-15,20:46:45,Debit Card,10052,807.03,1664.09,10909.06
100,17,5,2023-06-25,15:18:06,Debit Card,8995,0,1619.1,10614.1
101,,3,2023-04-08,11:48:43,UPI,16692,0,3004.56,19696.56
102,,4,2024-07-31,12:13:36,Debit Card,5046,180.65,875.76,5741.11
103,23,3,2024-12-21,18:01:27,Wallet,5997,0,1079.46,7076.46
104,32,3,2024-04-28,13:03:38,Credit Card,2778,163.83,470.55,3084.72
105,,1,2023-08-24,19:19:12,Wallet,8979,181.65,1583.52,10380.87
106,15,3,2023-01-24,17:37:41,UPI,15436,0,2778.48,18214.48
107,31,3,2023-07-16,19:27:47,UPI,4345,0,782.1,5127.1
108,3,2,2023-05-29,09:16:24,UPI,5033,0,905.94,5938.94
109,,5,2023-04-30,18:32:02,UPI,7192,0,1294.56,8486.56
110,40,4,2024-01-25,20:45:07,UPI,5535,0,996.3,6531.3
111,17,4,2023-10-26,21:20:13,Debit Card,2935,0,528.3,3463.3
112,,2,2023-03-26,11:34:54,Wallet,11694,0,2104.92,13798.92
113,41,4,2023-12-15,12:23:35,Credit Card,3895,0,701.1,4596.1
114,14,5,2023-05-11,14:58:42,Debit Card,6795,0,1223.1,8018.1
115,49,1,2023-05-03,14:00:41,Credit Card,1299,46.87,225.38,1477.51
116,32,4,2024-02-08,11:44:49,Credit Card,2453,0,441.54,2894.54
117,29,2,2023-03-02,20:50:42,Wallet,1798,0,323.64,2121.64
118,50,5,2023-07-27,12:51:58,Cash,2976,396.04,464.39,3044.35
119,,1,2023-11-02,15:31:16,Debit Card,297,18.55,50.12,328.57
120,31,3,2024-02-27,11:04:30,Debit Card,2397,0,431.46,2828.46
121,8,1,2024-03-09,11:49:08,Wallet,5997,0,1079.46,7076.46
122,50,5,2024-04-03,18:48:55,Debit Card,16093,0,2896.74,18989.74
123,16,4,2023-01-01,13:01:44,Wallet,13687,0,2463.66,16150.66
124,42,3,2023-11-05,13:04:38,Credit Card,4692,0,844.56,5536.56
125,19,5,2023-10-18,11:21:23,Debit Card,2713,281.76,437.62,2868.86
126,19,4,2024-06-15,14:39:34,UPI,9390,0,1690.2,11080.2
127,13,1,2023-05-31,10:09:50,Debit Card,8784,1297.37,1347.59,8834.22
128,50,1,2024-02-07,15:23:21,Credit Card,3956,0,712.08,4668.08
129,7,3,2023-09-15,09:43:12,Wallet,3795,0,683.1,4478.1
130,7,1,2023-02-13,19:37:20,Debit Card,798,0,143.64,941.64
131,,4,2023-07-11,16:30:30,UPI,4991,0,898.38,5889.38
132,39,2,2023-02-21,21:17:07,Cash,999,57.78,169.42,1110.64
133,,2,2024-05-31,17:11:06,Wallet,1799,0,323.82,2122.82
134,25,4,2023-06-25,15:58:18,Wallet,5095,376.29,849.37,5568.08
135,26,2,2023-12-08,21:36:40,Cash,9195,243.3,1611.31,10563.01
136,,5,2023-11-20,21:46:57,UPI,8353,0,1503.54,9856.54
137,19,4,2023-01-19,09:41:34,Debit Card,7495,386.69,1279.5,8387.81
138,,4,2023-09-19,17:12:31,Cash,6644,0,1195.92,7839.92
139,24,5,2024-01-12,21:14:09,Credit Card,8545,443.43,1458.28,9559.85
140,42,4,2024-03-27,17:43:16,Wallet,1198,0,215.64,1413.64
141,19,5,2023-03-20,11:09:44,UPI,7034,0,1266.12,8300.12
142,,3,2023-07-22,15:16:25,Wallet,7293,201.38,1276.49,8368.11
143,,4,2023-11-13,17:35:48,UPI,2592,360.72,401.63,2632.91
144,29,1,2023-03-10,16:15:40,Credit Card,4043,0,727.74,4770.74
145,11,3,2023-12-23,17:03:40,Wallet,11589,616.99,1974.96,12946.97
146,27,4,2023-12-06,10:01:23,Cash,21588,0,3885.84,25473.84
147,22,5,2024-04-07,13:44:26,UPI,6992,954.32,1086.78,7124.46
148,26,5,2024-11-01,09:14:36,UPI,899,0,161.82,1060.82
149,31,1,2023-12-03,13:54:52,UPI,5044,0,907.92,5951.92
150,10,3,2023-05-17,18:52:59,UPI,4794,477.79,776.92,5093.13
151,32,1,2024-07-17,20:52:16,UPI,3443,0,619.74,4062.74
152,,5,2023-10-17,20:34:54,Wallet,5697,0,1025.46,6722.46
153,46,3,2023-09-03,20:40:31,Debit Card,11541,0,2077.38,13618.38
154,49,4,2024-02-11,20:39:05,Credit Card,8795,0,1583.1,10378.1
155,44,1,2023-06-23,18:06:39,Wallet,12740,0,2293.2,15033.2
156,49,1,2024-01-29,14:39:10,Wallet,4396,378.56,723.14,4740.58
157,,3,2024-12-31,17:51:54,UPI,14038,1133.08,2322.89,15227.81
158,20,1,2024-07-16,15:32:03,Debit Card,3097,0,557.46,3654.46
159,19,5,2024-12-21,20:46:26,Cash,1496,63.97,257.77,1689.8
160,47,2,2023-01-10,17:24:21,UPI,5873,0,1057.14,6930.14
161,28,3,2023-09-22,18:48:56,Credit Card,1797,214.81,284.79,1866.98
162,,5,2023-03-01,18:26:19,Cash,8494,0,1528.92,10022.92
163,44,5,2024-02-22,18:26:25,Wallet,4546,0,818.28,5364.28
164,38,4,2023-07-30,10:19:27,Cash,678,0,122.04,800.04
165,27,5,2024-10-03,20:49:56,UPI,16586,0,2985.48,19571.48
166,,5,2023-09-21,11:48:20,Credit Card,398,0,71.64,469.64
167,19,4,2023-02-08,16:52:49,Credit Card,3643,63.2,644.36,4224.16
168,24,1,2024-05-07,17:22:07,Wallet,14250,0,2565.0,16815.0
169,18,1,2023-03-27,17:39:51,Wallet,3194,0,574.92,3768.92
170,,5,2023-11-04,18:37:24,Wallet,797,0,143.46,940.46
171,22,3,2024-02-07,13:50:57,Cash,21186,0,3813.48,24999.48
172,4,1,2024-06-09,16:46:57,UPI,4097,0,737.46,4834.46
173,47,3,2023-01-16,09:29:16,Wallet,11189,0,2014.02,13203.02
174,13,5,2024-07-23,19:50:55,Wallet,7755,175.88,1364.24,8943.36
175,41,5,2023-12-19,21:04:22,Debit Card,8589,0,1546.02,10135.02
176,33,1,2024-04-20,12:29:48,Credit Card,5503,0,990.54,6493.54
177,,4,2024-05-05,15:30:16,UPI,1326,0,238.68,1564.68
178,45,1,2023-06-14,12:23:49,UPI,5892,0,1060.56,6952.56
179,3,2,2024-12-28,13:46:21,Cash,16690,2100.29,2626.15,17215.86
180,22,3,2024-09-02,10:10:17,Cash,699,19.6,122.29,801.69
181,14,5,2023-05-28,21:49:17,Credit Card,597,20.01,103.86,680.85
182,,1,2023-09-22,18:44:49,Credit Card,9294,925.2,1506.38,9875.18
183,17,3,2023-10-05,10:49:09,Wallet,8573,712.91,1414.82,9274.91
184,16,5,2024-06-21,20:55:56,Cash,2697,326.64,426.66,2797.02
185,45,3,2024-02-05,13:40:06,UPI,2998,171.14,508.83,3335.69
186,31,3,2024-09-01,19:28:50,Wallet,8348,0,1502.64,9850.64
187,,3,2024-10-25,18:12:41,Wallet,6594,0,1186.92,7780.92
188,22,2,2023-12-21,20:26:08,Credit Card,6892,0,1240.56,8132.56
189,12,3,2023-02-02,16:28:25,Credit Card,11193,1613.1,1724.38,11304.28
190,6,2,2023-11-08,15:09:47,Debit Card,1499,0,269.82,1768.82
191,,3,2024-07-19,20:52:42,Credit Card,6595,422.86,1110.99,7283.13
192,15,2,2023-05-29,10:08:34,UPI,5753,0,1035.54,6788.54
193,11,1,2024-09-08,18:47:06,UPI,398,10.98,69.66,456.68
194,,2,2024-06-18,20:45:01,Debit Card,2997,41.51,531.99,3487.48
195,1,4,2024-04-04,20:17:34,Debit Card,7494,0,1348.92,8842.92
196,35,2,2024-03-02,11:59:21,UPI,7304,777.35,1174.8,7701.45
197,,1,2023-12-24,16:30:23,Debit Card,8893,0,1600.74,10493.74
198,,5,2023-12-18,09:13:52,UPI,4945,334.38,829.91,5440.53
199,,4,2023-01-19,15:55:30,Wallet,7994,0,1438.92,9432.92
200,31,2,2024-01-02,13:33:57,Debit Card,6594,0,1186.92,7780.92
201,11,2,2023-10-05,12:28:40,Wallet,999,0,179.82,1178.82
202,28,2,2023-11-15,13:12:45,Credit Card,1798,259.66,276.9,1815.24
203,40,2,2023-10-11,09:12:35,Credit Card,1495,0,269.1,1764.1
204,41,1,2024-09-17,17:34:57,Cash,7793,161.16,1373.73,9005.57
205,47,5,2023-02-19,18:55:16,Wallet,3597,418.56,572.12,3750.56
206,37,1,2024-11-03,18:12:55,Wallet,13095,0,2357.1,15452.1
207,45,1,2024-05-05,21:51:06,Wallet,11091,0,1996.38,13087.38
208,,5,2024-05-12,10:34:01,UPI,998,0,179.64,1177.64
209,4,1,2024-02-16,18:43:30,UPI,4495,0,809.1,5304.1
210,31,4,2024-07-12,12:37:42,Wallet,8742,0,1573.56,10315.56
211,14,2,2024-12-08,13:17:20,Credit Card,8352,36.1,1496.86,9812.76
212,8,1,2024-01-15,16:03:38,Cash,298,0,53.64,351.64
213,14,5,2023-01-27,20:30:27,Wallet,7812,0,1406.16,9218.16
214,7,5,2023-07-19,12:30:31,Debit Card,4897,0,881.46,5778.46
215,14,4,2023-07-25,20:36:12,Cash,16239,0,2923.02,19162.02
216,10,2,2023-10-08,12:14:02,Wallet,9892,0,1780.56,11672.56
217,44,1,2023-07-13,19:16:08,UPI,10120,0,1821.6,11941.6
218,39,3,2024-06-04,09:16:30,UPI,6194,0,1114.92,7308.92
219,44,3,2024-08-21,16:12:17,Credit Card,6237,0,1122.66,7359.66
220,6,3,2023-02-26,18:14:22,Wallet,1295,0,233.1,1528.1
221,37,4,2023-03-03,13:43:12,Cash,7041,0,1267.38,8308.38
222,11,3,2023-05-03,21:03:05,Debit Card,9993,0,1798.74,11791.74
223,44,4,2023-04-21,14:12:17,Wallet,3945,0,710.1,4655.1
224,6,4,2024-11-09,15:59:23,UPI,2697,0,485.46,3182.46
225,31,5,2023-01-16,12:16:51,Debit Card,4093,107.77,717.34,4702.57
226,,2,2023-01-03,13:04:45,Wallet,15792,2108.56,2463.02,16146.46
227,38,4,2023-12-17,18:01:25,Credit Card,11291,0,2032.38,13323.38
228,,3,2023-09-15,10:56:58,Debit Card,14593,0,2626.74,17219.74
229,28,3,2023-07-13,17:19:33,UPI,747,0,134.46,881.46
230,34,1,2023-03-10,15:59:06,Debit Card,1759,157.03,288.35,1890.32
231,6,3,2024-11-08,17:15:11,Debit Card,10295,0,1853.1,12148.1
232,14,2,2023-10-01,09:34:27,Wallet,1347,0,242.46,1589.46
233,,3,2024-04-24,10:26:51,Wallet,7694,0,1384.92,9078.92
234,32,5,2024-01-13,17:41:38,UPI,4643,0,835.74,5478.74
235,4,4,2024-01-27,11:46:40,UPI,4174,374.02,684.0,4483.98
236,5,5,2024-01-01,19:21:12,Credit Card,8192,0,1474.56,9666.56
237,50,2,2023-05-24,16:38:07,Cash,4996,0,899.28,5895.28
238,28,4,2024-04-22,13:54:37,Credit Card,3766,0,677.88,4443.88
239,31,1,2023-11-17,18:39:26,UPI,11053,1404.68,1736.7,11385.02
240,49,4,2024-07-21,14:02:15,Debit Card,11591,897.14,1924.89,12618.75
241,14,2,2024-06-17,15:26:06,Cash,4696,0,845.28,5541.28
242,45,1,2023-09-05,19:34:27,Cash,15639,0,2815.02,18454.02
243,36,1,2024-09-26,16:38:06,Cash,11713,0,2108.34,13821.34
244,38,4,2023-09-19,17:44:19,Wallet,13491,1342.13,2186.8,14335.67
245,14,1,2024-07-11,09:28:03,UPI,3046,349.09,485.44,3182.35
246,13,4,2024-07-19,21:18:35,Credit Card,2696,0,485.28,3181.28
247,35,5,2024-03-12,13:48:56,UPI,7496,45.41,1341.11,8791.7
248,34,3,2023-06-08,09:00:01,Wallet,7497,0,1349.46,8846.46
249,13,5,2024-04-28,10:23:27,Debit Card,12541,905.85,2094.33,13729.48
250,2,2,2023-08-22,19:00:22,Credit Card,13039,1519.09,2073.58,13593.49
251,7,3,2023-11-25,18:48:28,Credit Card,917,0,165.06,1082.06
252,49,1,2024-06-11,18:55:21,Credit Card,1148,0,206.64,1354.64
253,27,5,2024-05-24,14:04:21,Debit Card,6095,406.32,1023.96,6712.64
254,26,2,2024-08-08,15:53:44,Cash,7147,29.98,1281.06,8398.08
255,,4,2024-08-14,10:52:15,Credit Card,5274,676.19,827.61,5425.42
256,42,2,2024-05-23,14:32:32,Debit Card,998,0,179.64,1177.64
257,,3,2024-09-22,16:48:42,UPI,5895,591.84,954.57,6257.73
258,41,5,2023-08-19,11:06:27,UPI,5776,0,1039.68,6815.68
259,,2,2024-11-04,17:35:55,UPI,3147,40.39,559.19,3665.8
260,50,2,2023-10-15,20:51:23,Credit Card,9092,1309.92,1400.77,9182.85
261,34,3,2023-02-26,20:56:58,Debit Card,2298,0,413.64,2711.64
262,12,5,2023-06-02,09:12:28,Debit Card,5196,0,935.28,6131.28
263,,5,2024-12-25,10:37:55,Debit Card,1347,93.5,225.63,1479.13
264,12,5,2023-07-18,13:46:27,Credit Card,960,98.62,155.05,1016.43
265,7,3,2023-04-03,13:31:05,Debit Card,6840,0,1231.2,8071.2
266,41,3,2024-08-10,14:42:25,Cash,2993,272.55,489.68,3210.13
267,4,1,2023-11-02,16:23:34,Wallet,1197,62.52,204.21,1338.69
268,17,2,2023-07-26,17:21:04,Wallet,4895,615.23,770.36,5050.13
269,20,2,2024-10-17,15:15:45,UPI,2995,0,539.1,3534.1
270,,3,2024-07-09,10:49:00,Cash,1947,0,350.46,2297.46
271,29,2,2024-11-22,18:07:27,Wallet,2097,223.71,337.19,2210.48
272,23,4,2023-01-08,12:57:37,Wallet,12190,0,2194.2,14384.2
273,,2,2024-01-18,17:54:38,UPI,6393,235.2,1108.4,7266.2
274,18,1,2023-05-17,11:41:10,Cash,4796,468.47,778.96,5106.49
275,20,3,2023-09-25,13:31:46,UPI,7995,0,1439.1,9434.1
276,47,4,2024-06-22,09:14:56,Cash,897,0,161.46,1058.46
277,21,4,2024-08-04,16:41:40,Credit Card,3894,373.93,633.61,4153.68
278,14,3,2024-09-13,19:46:32,Credit Card,5946,0,1070.28,7016.28
279,37,1,2023-02-04,19:43:59,Wallet,5143,0,925.74,6068.74
280,42,3,2023-03-21,10:48:00,Wallet,14791,0,2662.38,17453.38
281,42,1,2023-01-16,09:37:53,Credit Card,2638,94.51,457.83,3001.32
282,35,5,2024-04-21,21:57:11,Wallet,4277,179.3,737.59,4835.29
283,25,5,2023-05-01,16:38:37,Wallet,398,42.12,64.06,419.94
284,,3,2024-04-19,17:13:33,Cash,5241,180.76,910.84,5971.08
285,14,3,2023-11-09,16:24:56,Wallet,3795,0,683.1,4478.1
286,39,5,2023-07-25,16:41:07,Debit Card,3795,568.07,580.85,3807.78
287,1,4,2023-11-15,15:31:32,Wallet,5985,560.26,976.45,6401.19
288,18,2,2024-05-17,17:29:11,Debit Card,1388,60.6,238.93,1566.33
289,5,1,2023-09-15,17:45:12,Credit Card,3096,0,557.28,3653.28
290,17,4,2024-07-15,20:19:14,UPI,6647,0,1196.46,7843.46
291,10,4,2023-02-12,18:20:52,Credit Card,199,0,35.82,234.82
292,20,1,2023-10-10,16:08:27,Credit Card,698,4.74,124.79,818.05
293,,5,2023-06-30,19:58:26,Wallet,11591,1343.81,1844.49,12091.68
294,,2,2023-04-25,15:11:12,Cash,297,0,53.46,350.46
295,31,1,2023-06-17,15:16:59,Wallet,2595,0,467.1,3062.1
296,31,5,2024-01-09,18:21:05,Cash,798,110.36,123.78,811.42
297,,4,2023-08-04,13:17:34,Debit Card,11389,1067.19,1857.93,12179.74
298,22,4,2023-03-16,16:58:51,Debit Card,10894,0,1960.92,12854.92
299,29,1,2024-06-16,09:26:39,Debit Card,3137,290.92,512.29,3358.37
300,45,2,2023-11-16,09:28:05,Credit Card,4795,0,863.1,5658.1
301,17,5,2023-04-29,16:04:36,Credit Card,7794,965.59,1229.11,8057.52
302,45,4,2023-08-05,10:22:10,UPI,3595,0,647.1,4242.1
303,3,3,2024-08-19,09:38:50,Wallet,5556,0,1000.08,6556.08
304,35,5,2024-02-28,16:54:40,Credit Card,2247,0,404.46,2651.46
305,15,2,2023-08-01,18:21:56,Credit Card,9490,0,1708.2,11198.2
306,30,3,2024-10-11,09:56:48,Cash,5790,0,1042.2,6832.2
307,24,5,2024-03-10,12:59:42,Cash,18491,2491.17,2879.97,18879.8
308,34,4,2023-09-08,18:11:42,UPI,11541,0,2077.38,13618.38
309,22,1,2023-07-09,12:19:57,Credit Card,2697,364.54,419.84,2752.3
310,20,5,2023-05-09,10:25:35,Debit Card,1198,0,215.64,1413.64
311,36,5,2024-08-14,13:30:01,Wallet,1097,0,197.46,1294.46
312,10,2,2023-12-28,09:12:37,Debit Card,2715,0,488.7,3203.7
313,49,1,2024-11-20,12:18:53,Credit Card,11742,94.04,2096.63,13744.59
314,33,5,2023-04-08,09:00:03,Wallet,1798,0,323.64,2121.64
315,34,1,2024-07-17,17:29:33,Debit Card,2639,0,475.02,3114.02
316,6,1,2023-06-12,13:09:23,Credit Card,8792,0,1582.56,10374.56
317,40,1,2024-05-23,16:51:31,Debit Card,7393,0,1330.74,8723.74
318,34,5,2023-05-05,17:22:50,Cash,1350,79.01,228.78,1499.77
319,26,3,2023-06-06,18:30:08,Wallet,7316,0,1316.88,8632.88
320,47,5,2024-12-06,19:46:32,Credit Card,498,56.03,79.55,521.52
321,6,3,2023-08-30,10:09:49,Cash,13493,0,2428.74,15921.74
322,30,2,2024-09-25,12:52:15,UPI,5993,0,1078.74,7071.74
323,11,4,2023-08-04,21:52:31,Debit Card,3595,0,647.1,4242.1
324,,1,2023-04-21,14:16:11,Wallet,11473,852.95,1911.61,12531.66
325,18,2,2024-10-25,18:07:27,Debit Card,4497,0,809.46,5306.46
326,23,4,2024-10-12,13:46:18,Credit Card,3798,0,683.64,4481.64
327,,5,2024-06-22,21:23:26,Wallet,1999,0,359.82,2358.82
328,45,5,2023-01-23,11:01:32,Cash,3396,0,611.28,4007.28
329,,4,2024-02-14,19:53:52,Credit Card,13791,1190.46,2268.1,14868.64
330,12,1,2023-07-02,16:58:02,UPI,1499,0,269.82,1768.82
331,1,5,2024-10-01,19:42:52,Debit Card,8683,0,1562.94,10245.94
332,17,1,2024-10-31,19:56:36,Wallet,19387,1639.88,3194.48,20941.6
333,45,5,2024-04-18,16:01:24,UPI,5095,0,917.1,6012.1
334,38,1,2023-04-09,20:48:48,Debit Card,4297,0,773.46,5070.46
335,21,2,2024-09-07,14:54:28,Cash,5694,0,1024.92,6718.92
336,26,2,2024-07-09,17:57:44,Debit Card,1197,116.78,194.44,1274.66
337,6,3,2024-10-03,21:40:24,Debit Card,12641,778.07,2135.33,13998.26
338,48,2,2023-09-17,17:02:21,Cash,2297,0,413.46,2710.46
339,,1,2023-02-14,19:24:13,Credit Card,2295,196.18,377.79,2476.61
340,,2,2023-01-24,20:43:26,Cash,4605,0,828.9,5433.9
341,2,3,2024-12-19,13:21:09,Cash,5852,549.81,954.39,6256.58
342,3,3,2024-07-31,17:44:06,Cash,3696,0,665.28,4361.28
343,,2,2024-04-14,09:37:18,Cash,2598,0,467.64,3065.64
344,46,5,2024-02-01,15:09:02,Cash,3744,0,673.92,4417.92
345,38,1,2023-06-19,18:38:13,Wallet,2296,122.15,391.29,2565.14
346,,1,2024-01-13,21:19:55,Wallet,5594,0,1006.92,6600.92
347,45,5,2024-06-01,16:26:01,Debit Card,8996,0,1619.28,10615.28
348,40,5,2024-02-28,11:43:34,Cash,12252,1079.6,2011.03,13183.43
349,1,1,2023-08-21,18:58:23,Wallet,10190,1201.65,1617.9,10606.25
350,26,4,2024-04-28,17:34:17,Credit Card,199,0,35.82,234.82
351,1,1,2024-07-07,16:19:28,Wallet,2717,309.75,433.31,2840.56
352,26,5,2023-07-04,10:36:55,Wallet,19288,2293.17,3059.07,20053.9
353,,4,2024-05-22,15:22:44,Credit Card,9395,0,1691.1,11086.1
354,26,3,2024-01-13,14:20:39,Wallet,877,0,157.86,1034.86
355,8,5,2024-05-03,17:49:59,Cash,2996,72.49,526.23,3449.74
356,40,3,2024-08-29,16:17:33,Wallet,14590,0,2626.2,17216.2
